id,timestamp,sender,message,reply_to,reaction
2570,2026-01-04 21:38:00,acc2,"Quote of the day: ""A lesson without pain is meaningless."" ❤️",2555,😂
2571,2026-01-04 21:40:00,acc3,I think today's episode was incredible! ❤️,2561,❤️
2572,2026-01-04 21:42:00,acc4,Anyone watching My Hero Academia lately? ⚡,,😂
2573,2026-01-04 21:44:00,acc1,Anyone watching Attack on Titan lately? 🔥,,🔥
2574,2026-01-04 21:46:00,acc2,I think today's episode was incredible! 💯,,😭
2575,2026-01-04 21:48:00,acc3,"Quote of the day: ""People's dreams never end."" ❤️",,😎
2576,2026-01-04 21:50:00,acc4,Anyone watching Frieren lately? 👀,2562,
2577,2026-01-04 21:52:00,acc1,That animation quality was insane! 🍜,,👍
2578,2026-01-04 21:54:00,acc2,Anyone watching Attack on Titan lately? 😎,,🔥
2579,2026-01-04 21:56:00,acc3,No spoilers please! ⚡,,😂
2580,2026-01-04 21:58:00,acc4,No spoilers please! 💯,,😂
2581,2026-01-04 22:00:00,acc1,My favorite moment in Bleach still gives me chills 💯,2579,
2582,2026-01-04 22:02:00,acc2,No spoilers please! 😎,2572,😂
2583,2026-01-04 22:04:00,acc3,Opening theme has been stuck in my head. 🎉,,💯
2584,2026-01-04 22:06:00,acc4,My favorite moment in Hunter x Hunter still gives me chills 📚,2570,😎
2585,2026-01-04 22:08:00,acc1,"Quote of the day: ""People's dreams never end."" 🤔",2576,👍
2586,2026-01-04 22:10:00,acc2,That animation quality was insane! ✨,,❤️
2587,2026-01-04 22:12:00,acc3,I'm rewatching My Hero Academia this weekend. 😭,,💯
2588,2026-01-04 22:14:00,acc4,Anyone watching Jujutsu Kaisen lately? 🎉,,😂
2589,2026-01-04 22:16:00,acc1,"Quote of the day: ""A lesson without pain is meaningless."" 🔥",2578,😂
2590,2026-01-04 22:18:00,acc2,I think today's episode was incredible! 😀,2581,❤️
2591,2026-01-04 22:20:00,acc3,My favorite moment in Steins;Gate still gives me chills 🔥,2587,😂
2592,2026-01-04 22:22:00,acc4,Opening theme has been stuck in my head. 🤔,,😭
2593,2026-01-04 22:24:00,acc1,Who's your favorite character from Naruto? ✨,,
2594,2026-01-04 22:26:00,acc2,Random anime fact: Attack on Titan changed many viewers' expectations of anime. 🔥,2578,👏
2595,2026-01-04 22:28:00,acc3,No spoilers please! 💯,,
2596,2026-01-04 22:30:00,acc4,Random anime fact: Attack on Titan changed many viewers' expectations of anime. 💯,,
2597,2026-01-04 22:32:00,acc1,No spoilers please! ✨,2591,❤️
2598,2026-01-04 22:34:00,acc2,No spoilers please! 💯,2594,👍
2599,2026-01-04 22:36:00,acc3,Random anime fact: Did you know? Anime is often adapted from manga or light novels. 📚,,😎
2600,2026-01-04 22:38:00,acc4,"Quote of the day: ""The world isn't perfect, but it's beautiful."" ⚡",2594,😂
2601,2026-01-04 22:40:00,acc1,That animation quality was insane! 😎,2594,❤️
2602,2026-01-04 22:42:00,acc2,I'm rewatching My Hero Academia this weekend. ✨,,😂
2603,2026-01-04 22:44:00,acc3,Random anime fact: Attack on Titan changed many viewers' expectations of anime. 🙌,2589,👏
2604,2026-01-04 22:46:00,acc4,No spoilers please! 🎉,,😎
2605,2026-01-04 22:48:00,acc1,"Quote of the day: ""A lesson without pain is meaningless."" 💯",,😮
2606,2026-01-04 22:50:00,acc2,That animation quality was insane! 🎉,,
2607,2026-01-04 22:52:00,acc3,Anyone watching Solo Leveling lately? 👀,,❤️
2608,2026-01-04 22:54:00,acc4,I think today's episode was incredible! 🔥,2596,😮
2609,2026-01-04 22:56:00,acc1,Opening theme has been stuck in my head. ⚡,,😂
2610,2026-01-04 22:58:00,acc2,"Quote of the day: ""Power comes in response to a need."" 🔥",2596,😎
2611,2026-01-04 23:00:00,acc3,"Quote of the day: ""A lesson without pain is meaningless."" 🍜",2609,
2612,2026-01-04 23:02:00,acc4,Who's your favorite character from Attack on Titan? 🔥,,👏
2613,2026-01-04 23:04:00,acc1,I'm rewatching Demon Slayer this weekend. 🙌,,👏
2614,2026-01-04 23:06:00,acc2,That animation quality was insane! 🔥,2601,🔥
2615,2026-01-04 23:08:00,acc3,I think today's episode was incredible! 🎉,,😎
2616,2026-01-04 23:10:00,acc4,I think today's episode was incredible! 🤔,,😭
2617,2026-01-04 23:12:00,acc1,Anyone watching Steins;Gate lately? 🤔,2613,😭
2618,2026-01-04 23:14:00,acc2,"Quote of the day: ""A lesson without pain is meaningless."" 😀",,
2619,2026-01-04 23:16:00,acc3,Opening theme has been stuck in my head. 🍜,,❤️
2620,2026-01-04 23:18:00,acc4,Anyone watching Death Note lately? 🔥,,👏
2621,2026-01-04 23:20:00,acc1,I think today's episode was incredible! 😂,,😮
2622,2026-01-04 23:22:00,acc2,My favorite moment in Bleach still gives me chills ⚡,,👏
2623,2026-01-04 23:24:00,acc3,Random anime fact: Did you know? Anime is often adapted from manga or light novels. 🙌,,🔥
2624,2026-01-04 23:26:00,acc4,"Quote of the day: ""Keep moving forward."" 😂",2615,👏
2625,2026-01-04 23:28:00,acc1,Random anime fact: Did you know? Anime is often adapted from manga or light novels. 😎,2619,❤️
2626,2026-01-04 23:30:00,acc2,I think today's episode was incredible! 🎉,,💯
2627,2026-01-04 23:32:00,acc3,I'm rewatching Attack on Titan this weekend. ✨,2620,😂
2628,2026-01-04 23:34:00,acc4,Random anime fact: Did you know? Anime is often adapted from manga or light novels. 🤔,,😎
2629,2026-01-04 23:36:00,acc1,Random anime fact: One Piece is among the best-selling manga series. 📚,2621,💯
2630,2026-01-04 23:38:00,acc2,Opening theme has been stuck in my head. 🍜,2626,😭
2631,2026-01-04 23:40:00,acc3,Random anime fact: Studio Ghibli films are famous for hand-drawn animation. 🍜,,👏
2632,2026-01-04 23:42:00,acc4,I think today's episode was incredible! ✨,2622,👏
2633,2026-01-04 23:44:00,acc1,Random anime fact: Many anime openings become chart-topping songs. 😎,2621,
2634,2026-01-04 23:46:00,acc2,Anyone watching Attack on Titan lately? 🤔,,👍
2635,2026-01-04 23:48:00,acc3,Who's your favorite character from Naruto? 🎉,,🔥
2636,2026-01-04 23:50:00,acc4,My favorite moment in Hunter x Hunter still gives me chills 🔥,2633,👏
2637,2026-01-04 23:52:00,acc1,I think today's episode was incredible! 🤔,2629,🔥
2638,2026-01-04 23:54:00,acc2,My favorite moment in Vinland Saga still gives me chills 💯,,😮
2639,2026-01-04 23:56:00,acc3,I'm rewatching Haikyuu!! this weekend. 👀,,🔥
2640,2026-01-04 23:58:00,acc4,Who's your favorite character from Vinland Saga? 🙌,2626,👍
2641,2026-01-05 00:00:00,acc1,Random anime fact: Studio Ghibli films are famous for hand-drawn animation. 🙌,2629,🔥
2642,2026-01-05 00:02:00,acc2,Random anime fact: Attack on Titan changed many viewers' expectations of anime. 🎉,2638,❤️
2643,2026-01-05 00:04:00,acc3,"Quote of the day: ""People's dreams never end."" 🔥",2641,👍
2644,2026-01-05 00:06:00,acc4,That animation quality was insane! 😀,2642,❤️
2645,2026-01-05 00:08:00,acc1,Random anime fact: One Piece is among the best-selling manga series. ⚡,,😎
2646,2026-01-05 00:10:00,acc2,Random anime fact: Studio Ghibli films are famous for hand-drawn animation. ✨,2636,😎
2647,2026-01-05 00:12:00,acc3,Random anime fact: Many anime openings become chart-topping songs. 🔥,2638,😭
2648,2026-01-05 00:14:00,acc4,Who's your favorite character from Solo Leveling? ✨,2638,😂
2649,2026-01-05 00:16:00,acc1,My favorite moment in Naruto still gives me chills 👀,2645,😭
2650,2026-01-05 00:18:00,acc2,My favorite moment in Haikyuu!! still gives me chills ❤️,,😎
2651,2026-01-05 00:20:00,acc3,I'm rewatching Demon Slayer this weekend. 😂,,😭
2652,2026-01-05 00:22:00,acc4,"Quote of the day: ""The world isn't perfect, but it's beautiful."" 🎉",2646,
2653,2026-01-05 00:24:00,acc1,Random anime fact: Did you know? Anime is often adapted from manga or light novels. 🔥,,
2654,2026-01-05 00:26:00,acc2,Random anime fact: Many anime openings become chart-topping songs. 📚,2649,💯
2655,2026-01-05 00:28:00,acc3,Who's your favorite character from Solo Leveling? 😂,,😎
2656,2026-01-05 00:30:00,acc4,I think today's episode was incredible! 🤔,2643,
2657,2026-01-05 00:32:00,acc1,Who's your favorite character from Fullmetal Alchemist? 😎,,😭
2658,2026-01-05 00:34:00,acc2,Random anime fact: Many anime openings become chart-topping songs. ❤️,2646,🔥
2659,2026-01-05 00:36:00,acc3,Who's your favorite character from One Piece? 😎,2655,😭
2660,2026-01-05 00:38:00,acc4,Opening theme has been stuck in my head. 👀,,😂
2661,2026-01-05 00:40:00,acc1,Anyone watching Demon Slayer lately? 🔥,,
2662,2026-01-05 00:42:00,acc2,My favorite moment in My Hero Academia still gives me chills 🙌,,👏
2663,2026-01-05 00:44:00,acc3,No spoilers please! 📚,,😂
2664,2026-01-05 00:46:00,acc4,I think today's episode was incredible! 🔥,,👍
2665,2026-01-05 00:48:00,acc1,Anyone watching Fullmetal Alchemist lately? 📚,,😎
2666,2026-01-05 00:50:00,acc2,No spoilers please! ✨,2659,😭
2667,2026-01-05 00:52:00,acc3,I think today's episode was incredible! 🙌,2656,😂
2668,2026-01-05 00:54:00,acc4,Anyone watching Hunter x Hunter lately? 😭,2666,👍
2669,2026-01-05 00:56:00,acc1,"Quote of the day: ""Power comes in response to a need."" 😎",2663,❤️
2670,2026-01-05 00:58:00,acc2,I think today's episode was incredible! 😂,2656,🔥
2671,2026-01-05 01:00:00,acc3,Opening theme has been stuck in my head. 💯,,
2672,2026-01-05 01:02:00,acc4,Who's your favorite character from Dragon Ball? 😂,,😮
2673,2026-01-05 01:04:00,acc1,"Quote of the day: ""Keep moving forward."" 🍜",2666,💯
2674,2026-01-05 01:06:00,acc2,Opening theme has been stuck in my head. 💯,2667,❤️
2675,2026-01-05 01:08:00,acc3,Random anime fact: One Piece is among the best-selling manga series. 💯,2660,🔥
2676,2026-01-05 01:10:00,acc4,I'm rewatching Demon Slayer this weekend. 😭,2662,👍
2677,2026-01-05 01:12:00,acc1,My favorite moment in Attack on Titan still gives me chills 😂,,❤️
2678,2026-01-05 01:14:00,acc2,Opening theme has been stuck in my head. 😂,2669,😂
2679,2026-01-05 01:16:00,acc3,I'm rewatching Solo Leveling this weekend. 🎉,2666,
2680,2026-01-05 01:18:00,acc4,"Quote of the day: ""Power comes in response to a need."" 👀",,👏
2681,2026-01-05 01:20:00,acc1,Random anime fact: Attack on Titan changed many viewers' expectations of anime. 💯,2679,😮
2682,2026-01-05 01:22:00,acc2,My favorite moment in Attack on Titan still gives me chills 🔥,,👍
2683,2026-01-05 01:24:00,acc3,I think today's episode was incredible! 🔥,2676,👏
2684,2026-01-05 01:26:00,acc4,That animation quality was insane! 😎,,
2685,2026-01-05 01:28:00,acc1,That animation quality was insane! 🤔,2670,👍
2686,2026-01-05 01:30:00,acc2,I think today's episode was incredible! 👀,,
2687,2026-01-05 01:32:00,acc3,I'm rewatching Death Note this weekend. ❤️,,😮
2688,2026-01-05 01:34:00,acc4,I think today's episode was incredible! ✨,2678,😮
2689,2026-01-05 01:36:00,acc1,My favorite moment in Jujutsu Kaisen still gives me chills 😎,2685,😂
2690,2026-01-05 01:38:00,acc2,Anyone watching One Piece lately? 📚,,👏
2691,2026-01-05 01:40:00,acc3,I'm rewatching Demon Slayer this weekend. ✨,,😂
2692,2026-01-05 01:42:00,acc4,That animation quality was insane! 😭,2676,💯
2693,2026-01-05 01:44:00,acc1,Who's your favorite character from Hunter x Hunter? 🍜,2691,❤️
2694,2026-01-05 01:46:00,acc2,Random anime fact: Studio Ghibli films are famous for hand-drawn animation. 🍜,2688,👍
2695,2026-01-05 01:48:00,acc3,"Quote of the day: ""Power comes in response to a need."" 😀",,👍
2696,2026-01-05 01:50:00,acc4,I'm rewatching Dragon Ball this weekend. 👀,,😮
2697,2026-01-05 01:52:00,acc1,I think today's episode was incredible! 👀,,💯
2698,2026-01-05 01:54:00,acc2,My favorite moment in Demon Slayer still gives me chills ⚡,,😮
2699,2026-01-05 01:56:00,acc3,Anyone watching My Hero Academia lately? 😂,2695,❤️
2700,2026-01-05 01:58:00,acc4,That animation quality was insane! 😀,2685,😭
2701,2026-01-05 02:00:00,acc1,Random anime fact: Studio Ghibli films are famous for hand-drawn animation. ⚡,,👍
2702,2026-01-05 02:02:00,acc2,I think today's episode was incredible! 🎉,,😂
2703,2026-01-05 02:04:00,acc3,Anyone watching One Piece lately? 🤔,2690,😎
2704,2026-01-05 02:06:00,acc4,"Quote of the day: ""The world isn't perfect, but it's beautiful."" 😂",,🔥
2705,2026-01-05 02:08:00,acc1,Who's your favorite character from Solo Leveling? 🍜,,😎
2706,2026-01-05 02:10:00,acc2,That animation quality was insane! ❤️,,🔥
2707,2026-01-05 02:12:00,acc3,Random anime fact: Did you know? Anime is often adapted from manga or light novels. 😭,,😎
2708,2026-01-05 02:14:00,acc4,That animation quality was insane! 🙌,2699,👍
2709,2026-01-05 02:16:00,acc1,I think today's episode was incredible! 😀,,🔥
2710,2026-01-05 02:18:00,acc2,Who's your favorite character from Haikyuu!!? 📚,2708,💯
2711,2026-01-05 02:20:00,acc3,Opening theme has been stuck in my head. 🤔,,🔥
2712,2026-01-05 02:22:00,acc4,Anyone watching Jujutsu Kaisen lately? 😀,,😮
2713,2026-01-05 02:24:00,acc1,Who's your favorite character from Haikyuu!!? 😂,2707,
2714,2026-01-05 02:26:00,acc2,I'm rewatching One Piece this weekend. 😀,2708,😭
2715,2026-01-05 02:28:00,acc3,Who's your favorite character from Attack on Titan? 😀,2707,😎
2716,2026-01-05 02:30:00,acc4,Who's your favorite character from Bleach? 🎉,2705,🔥
2717,2026-01-05 02:32:00,acc1,Who's your favorite character from Bleach? 😀,2709,👍
2718,2026-01-05 02:34:00,acc2,I'm rewatching Frieren this weekend. 🍜,2708,
2719,2026-01-05 02:36:00,acc3,My favorite moment in Death Note still gives me chills 💯,,
2720,2026-01-05 02:38:00,acc4,That animation quality was insane! 🍜,,😎
2721,2026-01-05 02:40:00,acc1,That animation quality was insane! 📚,2707,🔥
2722,2026-01-05 02:42:00,acc2,I'm rewatching Death Note this weekend. ⚡,2709,🔥
2723,2026-01-05 02:44:00,acc3,"Quote of the day: ""The world isn't perfect, but it's beautiful."" 🔥",2715,
2724,2026-01-05 02:46:00,acc4,My favorite moment in Frieren still gives me chills 📚,2715,👍
2725,2026-01-05 02:48:00,acc1,That animation quality was insane! 🔥,2719,😂
2726,2026-01-05 02:50:00,acc2,No spoilers please! 😀,2724,😎
2727,2026-01-05 02:52:00,acc3,Anyone watching Demon Slayer lately? 😭,2721,👍
2728,2026-01-05 02:54:00,acc4,My favorite moment in Steins;Gate still gives me chills 🎉,,
2729,2026-01-05 02:56:00,acc1,I'm rewatching My Hero Academia this weekend. 😂,2724,😎
2730,2026-01-05 02:58:00,acc2,My favorite moment in Frieren still gives me chills 😀,2728,💯
2731,2026-01-05 03:00:00,acc3,Random anime fact: Studio Ghibli films are famous for hand-drawn animation. 🔥,2722,👏
2732,2026-01-05 03:02:00,acc4,I think today's episode was incredible! ✨,,👍
2733,2026-01-05 03:04:00,acc1,No spoilers please! 😎,,😭
2734,2026-01-05 03:06:00,acc2,Random anime fact: One Piece is among the best-selling manga series. 🍜,2724,
2735,2026-01-05 03:08:00,acc3,My favorite moment in Bleach still gives me chills 😭,2729,❤️
2736,2026-01-05 03:10:00,acc4,Opening theme has been stuck in my head. 💯,,😂
2737,2026-01-05 03:12:00,acc1,I'm rewatching Vinland Saga this weekend. 🔥,2727,
2738,2026-01-05 03:14:00,acc2,Anyone watching Death Note lately? 😎,2725,❤️
2739,2026-01-05 03:16:00,acc3,My favorite moment in Steins;Gate still gives me chills 😭,,👍
2740,2026-01-05 03:18:00,acc4,I'm rewatching Death Note this weekend. 🔥,,😎
2741,2026-01-05 03:20:00,acc1,My favorite moment in Hunter x Hunter still gives me chills 🤔,2732,
2742,2026-01-05 03:22:00,acc2,Anyone watching Haikyuu!! lately? 💯,2740,💯
2743,2026-01-05 03:24:00,acc3,No spoilers please! 😭,,😮
2744,2026-01-05 03:26:00,acc4,No spoilers please! ⚡,,❤️
2745,2026-01-05 03:28:00,acc1,I think today's episode was incredible! ✨,,😂
2746,2026-01-05 03:30:00,acc2,"Quote of the day: ""Keep moving forward."" 🎉",2736,😮
2747,2026-01-05 03:32:00,acc3,"Quote of the day: ""Keep moving forward."" 👀",,💯
2748,2026-01-05 03:34:00,acc4,That animation quality was insane! 📚,,😮
2749,2026-01-05 03:36:00,acc1,No spoilers please! 🎉,,
2750,2026-01-05 03:38:00,acc2,My favorite moment in Bleach still gives me chills 👀,,❤️
2751,2026-01-05 03:40:00,acc3,"Quote of the day: ""Keep moving forward."" 📚",,
2752,2026-01-05 03:42:00,acc4,"Quote of the day: ""The world isn't perfect, but it's beautiful."" 😂",,💯
2753,2026-01-05 03:44:00,acc1,Anyone watching One Piece lately? ❤️,2742,😎
2754,2026-01-05 03:46:00,acc2,Anyone watching Attack on Titan lately? 🎉,2743,😮
2755,2026-01-05 03:48:00,acc3,My favorite moment in Frieren still gives me chills 😎,2745,👏
2756,2026-01-05 03:50:00,acc4,Anyone watching Naruto lately? 😎,2746,💯
2757,2026-01-05 03:52:00,acc1,My favorite moment in Bleach still gives me chills 📚,2743,😮
2758,2026-01-05 03:54:00,acc2,Anyone watching Naruto lately? 📚,2749,😎
2759,2026-01-05 03:56:00,acc3,I'm rewatching Jujutsu Kaisen this weekend. 😂,,😎
2760,2026-01-05 03:58:00,acc4,Random anime fact: Voice actors in Japan are called seiyuu. 👀,2754,💯
2761,2026-01-05 04:00:00,acc1,No spoilers please! 👀,2759,🔥
2762,2026-01-05 04:02:00,acc2,I'm rewatching Haikyuu!! this weekend. ✨,,😎
2763,2026-01-05 04:04:00,acc3,My favorite moment in Haikyuu!! still gives me chills 🙌,,
2764,2026-01-05 04:06:00,acc4,My favorite moment in Steins;Gate still gives me chills 😂,2759,
2765,2026-01-05 04:08:00,acc1,"Quote of the day: ""The world isn't perfect, but it's beautiful."" 🤔",2755,👍
2766,2026-01-05 04:10:00,acc2,My favorite moment in Dragon Ball still gives me chills ⚡,,👍
2767,2026-01-05 04:12:00,acc3,No spoilers please! 🎉,2754,💯
2768,2026-01-05 04:14:00,acc4,Random anime fact: Voice actors in Japan are called seiyuu. 🙌,,
2769,2026-01-05 04:16:00,acc1,Anyone watching Steins;Gate lately? 👀,,👍
2770,2026-01-05 04:18:00,acc2,Opening theme has been stuck in my head. 💯,,😂
2771,2026-01-05 04:20:00,acc3,Random anime fact: Attack on Titan changed many viewers' expectations of anime. 😎,,💯
2772,2026-01-05 04:22:00,acc4,No spoilers please! 🎉,2762,😭
2773,2026-01-05 04:24:00,acc1,That animation quality was insane! 🎉,,👍
2774,2026-01-05 04:26:00,acc2,I think today's episode was incredible! 🍜,2765,👏
2775,2026-01-05 04:28:00,acc3,Who's your favorite character from One Piece? 🎉,2762,🔥
2776,2026-01-05 04:30:00,acc4,I think today's episode was incredible! ❤️,,💯
2777,2026-01-05 04:32:00,acc1,That animation quality was insane! 🎉,,😮
2778,2026-01-05 04:34:00,acc2,I think today's episode was incredible! 💯,2767,🔥
2779,2026-01-05 04:36:00,acc3,Random anime fact: Did you know? Anime is often adapted from manga or light novels. 🔥,,😂
2780,2026-01-05 04:38:00,acc4,I'm rewatching Frieren this weekend. 😭,2771,😮
2781,2026-01-05 04:40:00,acc1,My favorite moment in Haikyuu!! still gives me chills 👀,,❤️
2782,2026-01-05 04:42:00,acc2,My favorite moment in Bleach still gives me chills 🙌,,😎
2783,2026-01-05 04:44:00,acc3,That animation quality was insane! 💯,2767,😎
2784,2026-01-05 04:46:00,acc4,No spoilers please! 👀,2775,😭
2785,2026-01-05 04:48:00,acc1,Opening theme has been stuck in my head. 🔥,2774,😭
2786,2026-01-05 04:50:00,acc2,That animation quality was insane! 🔥,2783,😂
2787,2026-01-05 04:52:00,acc3,My favorite moment in Vinland Saga still gives me chills 🙌,2771,🔥
2788,2026-01-05 04:54:00,acc4,"Quote of the day: ""The world isn't perfect, but it's beautiful."" 🤔",,
2789,2026-01-05 04:56:00,acc1,No spoilers please! ⚡,,😂
2790,2026-01-05 04:58:00,acc2,Who's your favorite character from Dragon Ball? 🔥,,😎
2791,2026-01-05 05:00:00,acc3,Who's your favorite character from Hunter x Hunter? 📚,,😮
2792,2026-01-05 05:02:00,acc4,Who's your favorite character from Naruto? 😎,2780,😭
2793,2026-01-05 05:04:00,acc1,"Quote of the day: ""A lesson without pain is meaningless."" 🍜",2778,❤️
2794,2026-01-05 05:06:00,acc2,I'm rewatching Jujutsu Kaisen this weekend. 📚,,😎
2795,2026-01-05 05:08:00,acc3,My favorite moment in Death Note still gives me chills 🙌,2793,💯
2796,2026-01-05 05:10:00,acc4,Random anime fact: Voice actors in Japan are called seiyuu. 💯,2780,🔥
2797,2026-01-05 05:12:00,acc1,My favorite moment in Haikyuu!! still gives me chills 🍜,2786,👍
2798,2026-01-05 05:14:00,acc2,That animation quality was insane! 🎉,2795,👍
2799,2026-01-05 05:16:00,acc3,That animation quality was insane! 😀,2795,🔥
2800,2026-01-05 05:18:00,acc4,Random anime fact: Many anime openings become chart-topping songs. ✨,,🔥
2801,2026-01-05 05:20:00,acc1,Anyone watching Solo Leveling lately? 😀,2798,❤️
2802,2026-01-05 05:22:00,acc2,I'm rewatching Bleach this weekend. ⚡,2794,❤️
2803,2026-01-05 05:24:00,acc3,Who's your favorite character from Vinland Saga? 😎,,👏
2804,2026-01-05 05:26:00,acc4,No spoilers please! 😀,,😎
2805,2026-01-05 05:28:00,acc1,Opening theme has been stuck in my head. ⚡,2796,😎
2806,2026-01-05 05:30:00,acc2,Opening theme has been stuck in my head. ❤️,,😎
2807,2026-01-05 05:32:00,acc3,Who's your favorite character from My Hero Academia? 💯,2802,💯
2808,2026-01-05 05:34:00,acc4,Random anime fact: Attack on Titan changed many viewers' expectations of anime. ✨,2804,
2809,2026-01-05 05:36:00,acc1,Opening theme has been stuck in my head. ⚡,2806,😭
2810,2026-01-05 05:38:00,acc2,Random anime fact: Studio Ghibli films are famous for hand-drawn animation. 💯,,🔥
2811,2026-01-05 05:40:00,acc3,That animation quality was insane! ✨,2797,😮
2812,2026-01-05 05:42:00,acc4,"Quote of the day: ""Keep moving forward."" 💯",2798,😎
2813,2026-01-05 05:44:00,acc1,My favorite moment in Hunter x Hunter still gives me chills 🎉,,❤️
2814,2026-01-05 05:46:00,acc2,Random anime fact: Did you know? Anime is often adapted from manga or light novels. 📚,2807,🔥
2815,2026-01-05 05:48:00,acc3,Anyone watching Demon Slayer lately? 📚,2807,🔥
2816,2026-01-05 05:50:00,acc4,My favorite moment in Demon Slayer still gives me chills 😀,,🔥
2817,2026-01-05 05:52:00,acc1,No spoilers please! 😂,,💯
2818,2026-01-05 05:54:00,acc2,Anyone watching Haikyuu!! lately? 📚,2812,
2819,2026-01-05 05:56:00,acc3,Anyone watching Death Note lately? 😂,2816,😮
2820,2026-01-05 05:58:00,acc4,My favorite moment in Fullmetal Alchemist still gives me chills 🎉,,🔥
2821,2026-01-05 06:00:00,acc1,My favorite moment in Frieren still gives me chills 💯,2817,👍
2822,2026-01-05 06:02:00,acc2,No spoilers please! 🎉,2809,👏
2823,2026-01-05 06:04:00,acc3,My favorite moment in Frieren still gives me chills 🤔,,🔥
2824,2026-01-05 06:06:00,acc4,Random anime fact: One Piece is among the best-selling manga series. 📚,,😮
2825,2026-01-05 06:08:00,acc1,I'm rewatching Solo Leveling this weekend. 😭,2814,👍
2826,2026-01-05 06:10:00,acc2,That animation quality was insane! 📚,,❤️
2827,2026-01-05 06:12:00,acc3,I think today's episode was incredible! 📚,,❤️
2828,2026-01-05 06:14:00,acc4,Anyone watching Bleach lately? 😎,2820,👏
2829,2026-01-05 06:16:00,acc1,Opening theme has been stuck in my head. 🍜,,
2830,2026-01-05 06:18:00,acc2,Anyone watching Death Note lately? 👀,,😎
2831,2026-01-05 06:20:00,acc3,"Quote of the day: ""The world isn't perfect, but it's beautiful."" ✨",,😂
2832,2026-01-05 06:22:00,acc4,Opening theme has been stuck in my head. 👀,,💯
2833,2026-01-05 06:24:00,acc1,No spoilers please! ❤️,,😎
2834,2026-01-05 06:26:00,acc2,I'm rewatching Attack on Titan this weekend. 💯,2819,👏
2835,2026-01-05 06:28:00,acc3,Random anime fact: Studio Ghibli films are famous for hand-drawn animation. 😭,,❤️
2836,2026-01-05 06:30:00,acc4,Opening theme has been stuck in my head. 🙌,,👍
2837,2026-01-05 06:32:00,acc1,I think today's episode was incredible! 📚,2831,😎
2838,2026-01-05 06:34:00,acc2,My favorite moment in Demon Slayer still gives me chills 😎,2822,
2839,2026-01-05 06:36:00,acc3,I'm rewatching Dragon Ball this weekend. 🎉,,😎
2840,2026-01-05 06:38:00,acc4,I'm rewatching Solo Leveling this weekend. ⚡,,❤️
2841,2026-01-05 06:40:00,acc1,Opening theme has been stuck in my head. 😭,,❤️
2842,2026-01-05 06:42:00,acc2,Who's your favorite character from Attack on Titan? 🔥,,
2843,2026-01-05 06:44:00,acc3,Random anime fact: Voice actors in Japan are called seiyuu. 😎,,
2844,2026-01-05 06:46:00,acc4,My favorite moment in Death Note still gives me chills 👀,,😮
2845,2026-01-05 06:48:00,acc1,No spoilers please! 😂,,😮
2846,2026-01-05 06:50:00,acc2,That animation quality was insane! 🤔,2832,👍
2847,2026-01-05 06:52:00,acc3,Anyone watching Jujutsu Kaisen lately? ⚡,2831,👍
2848,2026-01-05 06:54:00,acc4,I think today's episode was incredible! ❤️,,👍
2849,2026-01-05 06:56:00,acc1,Random anime fact: Voice actors in Japan are called seiyuu. 🍜,,😭
2850,2026-01-05 06:58:00,acc2,No spoilers please! 📚,2848,😮
2851,2026-01-05 07:00:00,acc3,No spoilers please! ⚡,2849,😎
2852,2026-01-05 07:02:00,acc4,I'm rewatching Demon Slayer this weekend. 🙌,,😂
2853,2026-01-05 07:04:00,acc1,No spoilers please! 📚,2849,👏
2854,2026-01-05 07:06:00,acc2,I think today's episode was incredible! 😀,2848,👍
2855,2026-01-05 07:08:00,acc3,Anyone watching Bleach lately? 🤔,2852,😭
2856,2026-01-05 07:10:00,acc4,Random anime fact: Many anime openings become chart-topping songs. 🤔,,👍
2857,2026-01-05 07:12:00,acc1,Opening theme has been stuck in my head. 😀,,👍
2858,2026-01-05 07:14:00,acc2,That animation quality was insane! 🎉,2852,👍
2859,2026-01-05 07:16:00,acc3,My favorite moment in One Piece still gives me chills 📚,2852,😮
2860,2026-01-05 07:18:00,acc4,Random anime fact: Many anime openings become chart-topping songs. ❤️,2852,😭
2861,2026-01-05 07:20:00,acc1,"Quote of the day: ""Keep moving forward."" 👀",2851,👏
2862,2026-01-05 07:22:00,acc2,I'm rewatching Jujutsu Kaisen this weekend. 😎,2852,❤️
2863,2026-01-05 07:24:00,acc3,Who's your favorite character from Jujutsu Kaisen? 🎉,2848,🔥
2864,2026-01-05 07:26:00,acc4,Anyone watching Bleach lately? 🤔,,😎
2865,2026-01-05 07:28:00,acc1,I'm rewatching Haikyuu!! this weekend. 😂,2852,👏
2866,2026-01-05 07:30:00,acc2,"Quote of the day: ""Keep moving forward."" 🎉",,😂
2867,2026-01-05 07:32:00,acc3,Who's your favorite character from Vinland Saga? 😭,2857,👍
2868,2026-01-05 07:34:00,acc4,No spoilers please! 👀,,😮
2869,2026-01-05 07:36:00,acc1,No spoilers please! ❤️,,😂
2870,2026-01-05 07:38:00,acc2,Who's your favorite character from Solo Leveling? 📚,,😂
2871,2026-01-05 07:40:00,acc3,I'm rewatching Naruto this weekend. 😀,2869,😮
2872,2026-01-05 07:42:00,acc4,Opening theme has been stuck in my head. ⚡,,❤️
